Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Tahoma CDP (part),362,198,164,54.4,57.0,53.6,N/A,N/A,6,50,304,177,142,93,45.3%,13.8%,,1550000US0677728061,
Plumas County,"19,790","9,948","9,842",53.0,51.8,54.0,N/A,N/A,845,"3,450","15,859","9,407","7,877","5,902",49.7%,17.4%,,0500000US06063,
Almanor CDP,3,1,2,59.5,59.5,50.5,N/A,N/A,0,0,3,2,1,0,66.7%,0.0%,,1600000US0601094,
Beckwourth CDP,478,237,241,59.4,59.9,56.8,N/A,N/A,10,61,405,270,227,159,50.4%,12.8%,,1600000US0604772,
Belden CDP,15,2,13,35.5,21.0,36.5,N/A,N/A,0,4,11,5,5,4,86.7%,26.7%,,1600000US0604856,
Blairsden CDP,38,20,18,72.2,70.0,73.0,N/A,N/A,0,2,36,27,24,21,47.4%,5.3%,,1600000US0606994,
Bucks Lake CDP,22,16,6,41.7,41.6,46.0,N/A,N/A,1,2,19,4,3,2,27.3%,9.1%,,1600000US0608744,
Canyondam CDP,30,20,10,71.6,71.5,71.7,N/A,N/A,2,2,28,25,21,21,33.3%,6.7%,,1600000US0610914,
Caribou CDP,1,1,0,9.5,9.5,-,N/A,N/A,0,1,0,0,0,0,0.0%,100.0%,,1600000US0611166,
Chester CDP,"2,187","1,120","1,067",53.3,51.5,55.3,N/A,N/A,100,393,"1,743","1,045",862,654,48.8%,18.0%,,1600000US0612930,
Chilcoot-Vinton CDP,446,224,222,42.4,38.3,48.0,N/A,N/A,39,105,334,172,138,95,49.8%,23.5%,,1600000US0613077,
Clio CDP,77,38,39,65.6,66.8,57.9,N/A,N/A,1,13,64,53,49,41,50.6%,16.9%,,1600000US0614106,
Crescent Mills CDP,206,94,112,46.7,44.3,52.7,N/A,N/A,4,34,165,86,71,61,54.4%,16.5%,,1600000US0617050,
C-Road CDP,140,66,74,62.4,62.3,63.0,N/A,N/A,7,27,109,86,79,50,52.9%,19.3%,,1600000US0617267,
Cromberg CDP,272,144,128,57.0,53.8,57.6,N/A,N/A,15,32,237,143,105,64,47.1%,11.8%,,1600000US0617288,
Delleker CDP,802,392,410,38.0,38.3,37.7,N/A,N/A,48,221,551,250,190,131,51.1%,27.6%,,1600000US0618485,
East Quincy CDP,"2,463","1,248","1,215",42.5,40.7,44.3,N/A,N/A,143,521,"1,866",878,704,522,49.3%,21.2%,,1600000US0621026,
East Shore CDP,181,93,88,66.9,67.1,64.0,N/A,N/A,3,13,168,127,118,96,48.6%,7.2%,,1600000US0621138,
Gold Mountain CDP,73,26,47,61.9,61.7,62.5,N/A,N/A,1,1,72,45,43,27,64.4%,1.4%,,1600000US0630339,
Graeagle CDP,724,358,366,65.0,65.3,64.7,N/A,N/A,10,47,661,528,466,362,50.6%,6.5%,,1600000US0630560,
Greenhorn CDP,247,135,112,46.5,53.5,40.7,N/A,N/A,6,54,188,110,108,75,45.3%,21.9%,,1600000US0631029,
Greenville CDP,"1,026",519,507,48.5,49.9,46.9,N/A,N/A,41,178,820,448,360,273,49.4%,17.3%,,1600000US0631162,
Hamilton Branch CDP,505,273,232,57.1,56.6,57.6,N/A,N/A,15,80,417,281,222,156,45.9%,15.8%,,1600000US0631883,
Indian Falls CDP,79,55,24,51.5,52.3,16.0,N/A,N/A,3,29,50,32,30,16,30.4%,36.7%,,1600000US0636364,
Iron Horse CDP,269,131,138,47.8,48.9,43.7,N/A,N/A,12,52,207,113,95,75,51.3%,19.3%,,1600000US0636735,
Johnsville CDP,22,11,11,60.5,61.3,57.5,N/A,N/A,0,4,15,14,12,8,50.0%,18.2%,,1600000US0637512,
Keddie CDP,51,28,23,56.1,47.5,56.8,N/A,N/A,4,7,43,27,16,8,45.1%,13.7%,,1600000US0637904,
Lake Almanor Country Club CDP,451,232,219,64.7,64.5,64.8,N/A,N/A,10,47,395,326,278,221,48.6%,10.4%,,1600000US0639411,
Lake Almanor Peninsula CDP,366,197,169,57.3,54.9,57.6,N/A,N/A,6,41,312,190,171,141,46.2%,11.2%,,1600000US0639420,
Lake Almanor West CDP,211,110,101,64.8,64.5,65.1,N/A,N/A,2,15,190,134,125,105,47.9%,7.1%,,1600000US0639425,
Lake Davis CDP,72,25,47,58.5,63.8,56.6,N/A,N/A,0,4,65,41,35,23,65.3%,5.6%,,1600000US0639483,
La Porte CDP,65,41,24,61.2,64.8,56.0,N/A,N/A,2,7,58,39,34,28,36.9%,10.8%,,1600000US0640312,
Little Grass Valley CDP,25,17,8,57.5,59.3,39.0,N/A,N/A,0,3,22,14,9,4,32.0%,12.0%,,1600000US0641789,
Mabie CDP,181,89,92,59.7,59.8,59.5,N/A,N/A,3,18,160,119,88,66,50.8%,9.9%,,1600000US0644672,
Meadow Valley CDP,453,219,234,57.8,60.1,56.6,N/A,N/A,15,65,381,241,199,143,51.7%,14.3%,,1600000US0646618,
Mohawk Vista CDP,107,62,45,64.8,65.2,64.2,N/A,N/A,3,11,95,74,59,53,42.1%,10.3%,,1600000US0648448,
Paxton CDP,0,0,0,-,-,-,N/A,N/A,0,0,0,0,0,0,-,-,,1600000US0656182,
Plumas Eureka CDP,334,177,157,65.5,66.4,63.6,N/A,N/A,4,22,310,226,195,173,47.0%,6.6%,,1600000US0657828,
Portola city,"2,100","1,027","1,073",41.0,38.7,42.1,N/A,N/A,117,489,"1,553",772,612,425,51.1%,23.3%,,1600000US0658352,
Prattville CDP,24,18,6,66.8,67.0,66.7,N/A,N/A,0,1,23,20,18,17,25.0%,4.2%,,1600000US0658618,
Quincy CDP,"1,630",767,863,42.5,41.4,43.1,N/A,N/A,80,330,"1,252",621,530,381,52.9%,20.2%,,1600000US0659080,
Spring Garden CDP,19,13,6,36.3,34.5,36.5,N/A,N/A,2,3,14,5,5,4,31.6%,15.8%,,1600000US0673654,
Taylorsville CDP,123,60,63,56.8,52.5,59.8,N/A,N/A,6,20,97,65,54,33,51.2%,16.3%,,1600000US0678008,
Tobin CDP,19,11,8,68.5,65.5,70.0,N/A,N/A,0,5,14,13,13,11,42.1%,26.3%,,1600000US0678792,
Twain CDP,75,31,44,62.2,62.8,57.5,N/A,N/A,3,10,65,42,39,32,58.7%,13.3%,,1600000US0680952,
Valley Ranch CDP,128,62,66,65.5,66.7,65.1,N/A,N/A,5,8,120,89,80,68,51.6%,6.3%,,1600000US0681869,
Warner Valley CDP,8,4,4,53.5,62.5,45.5,N/A,N/A,0,0,8,4,3,3,50.0%,0.0%,,1600000US0683494,
Whitehawk CDP,144,57,87,68.8,71.5,66.8,N/A,N/A,3,6,138,121,117,97,60.4%,4.2%,,1600000US0685086,
Riverside County,"2,418,185","1,199,118","1,219,067",36.8,35.8,37.9,N/A,N/A,"139,284","594,680","1,715,512","665,267","512,874","370,792",50.4%,24.6%,,0500000US06065,
Aguanga CDP,989,488,501,64.0,63.0,65.2,N/A,N/A,28,89,867,638,559,469,50.7%,9.0%,,1600000US0600464,
Anza CDP,"3,075","1,645","1,430",48.1,47.0,49.6,N/A,N/A,135,569,"2,423","1,258",987,680,46.5%,18.5%,,1600000US0602294,
Banning city,"29,505","13,977","15,528",45.0,41.2,48.3,N/A,N/A,"1,607","6,197","22,363","12,041","10,287","8,278",52.6%,21.0%,,1600000US0603820,
Beaumont city,"53,036","25,750","27,286",36.8,35.8,37.6,N/A,N/A,"3,363","14,445","36,548","13,856","11,136","8,264",51.4%,27.2%,,1600000US0604758,
Bermuda Dunes CDP,"8,244","4,033","4,211",40.3,38.6,42.3,N/A,N/A,452,"1,796","6,198","2,703","2,150","1,576",51.1%,21.8%,,1600000US0606028,
Blythe city,"18,317","12,183","6,134",36.9,36.9,36.7,N/A,N/A,778,"3,363","14,311","3,865","2,706","1,689",33.5%,18.4%,,1600000US0607218,
Cabazon CDP,"2,629","1,306","1,323",34.8,34.6,34.9,N/A,N/A,155,709,"1,825",665,477,310,50.3%,27.0%,,1600000US0609360,
Calimesa city,"10,026","4,887","5,139",45.9,43.8,48.9,N/A,N/A,515,"2,002","7,757","4,059","3,303","2,501",51.3%,20.0%,,1600000US0609864,
Canyon Lake city,"11,082","5,456","5,626",45.3,44.7,46.1,N/A,N/A,525,"2,273","8,442","4,118","3,200","2,311",50.8%,20.5%,,1600000US0610928,
Cathedral City city,"51,493","26,878","24,615",41.6,42.0,41.1,N/A,N/A,"2,433","11,100","38,300","17,146","13,265","9,778",47.8%,21.6%,,1600000US0612048,
Cherry Valley CDP,"6,509","3,092","3,417",55.1,53.6,56.0,N/A,N/A,243,"1,047","5,273","3,261","2,744","2,110",52.5%,16.1%,,1600000US0612916,
Coachella city,"41,941","20,846","21,095",28.6,27.4,29.8,N/A,N/A,"2,941","13,547","25,995","6,696","4,702","3,078",50.3%,32.3%,,1600000US0614260,
Corona city,"157,136","77,511","79,625",36.3,35.0,37.5,N/A,N/A,"8,820","38,178","111,931","37,757","26,854","18,042",50.7%,24.3%,,1600000US0616350,
Coronita CDP,"2,639","1,356","1,283",36.5,35.0,37.2,N/A,N/A,136,585,"1,934",687,492,365,48.6%,22.2%,,1600000US0616420,
Desert Center CDP,256,119,137,52.0,52.6,50.3,N/A,N/A,10,46,209,114,98,84,53.5%,18.0%,,1600000US0618982,
Desert Edge CDP,"4,180","2,058","2,122",60.2,58.4,61.8,N/A,N/A,149,648,"3,441","2,402","2,111","1,711",50.8%,15.5%,,1600000US0618986,
Desert Hot Springs city,"32,512","16,231","16,281",33.0,32.3,33.8,N/A,N/A,"2,249","9,171","21,876","7,575","5,665","3,900",50.1%,28.2%,,1600000US0618996,
Desert Palms CDP,"6,686","2,852","3,834",76.6,77.3,76.2,N/A,N/A,5,27,"6,653","6,471","6,233","5,819",57.3%,0.4%,,1600000US0619022,
East Hemet CDP,"19,432","9,584","9,848",33.3,32.1,34.5,N/A,N/A,"1,333","5,571","13,060","4,471","3,376","2,346",50.7%,28.7%,,1600000US0620697,
Eastvale city,"69,757","34,167","35,590",35.1,34.0,36.1,N/A,N/A,"4,272","20,228","46,447","13,113","9,162","6,156",51.0%,29.0%,,1600000US0621230,
El Cerrito CDP,"5,058","2,552","2,506",38.3,37.6,38.9,N/A,N/A,263,"1,141","3,709","1,463","1,100",731,49.5%,22.6%,,1600000US0621810,
El Sobrante CDP,"14,039","6,885","7,154",40.3,40.0,40.5,N/A,N/A,672,"3,344","10,135","3,980","2,902","1,896",51.0%,23.8%,,1600000US0622457,
French Valley CDP,"35,280","17,376","17,904",34.7,33.7,35.4,N/A,N/A,"2,267","10,922","22,784","6,752","4,909","3,507",50.7%,31.0%,,1600000US0626067,
Garnet CDP,"7,118","3,608","3,510",33.1,32.5,33.6,N/A,N/A,462,"2,066","4,720","1,620","1,200",791,49.3%,29.0%,,1600000US0629112,
Good Hope CDP,"9,468","4,902","4,566",30.2,29.8,30.6,N/A,N/A,714,"2,803","6,133","1,872","1,378",900,48.2%,29.6%,,1600000US0630410,
Green Acres CDP,"2,918","1,491","1,427",33.0,33.1,32.8,N/A,N/A,198,794,"1,986",629,469,292,48.9%,27.2%,,1600000US0630944,
Hemet city,"89,833","42,835","46,998",40.3,38.0,42.5,N/A,N/A,"5,419","21,344","65,251","31,644","26,260","20,496",52.3%,23.8%,,1600000US0633182,
Highgrove CDP,"7,515","3,717","3,798",32.5,31.7,33.3,N/A,N/A,549,"2,048","5,133","1,485","1,045",672,50.5%,27.3%,,1600000US0633574,
Home Gardens CDP,"11,203","5,617","5,586",34.5,33.6,35.6,N/A,N/A,700,"2,871","7,787","2,579","1,903","1,325",49.9%,25.6%,,1600000US0634302,
Homeland CDP,"6,772","3,410","3,362",36.9,35.2,38.6,N/A,N/A,400,"1,768","4,725","2,019","1,677","1,248",49.6%,26.1%,,1600000US0634316,
Idyllwild-Pine Cove CDP,"4,163","2,069","2,094",52.7,52.2,53.2,N/A,N/A,132,617,"3,427","1,970","1,651","1,217",50.3%,14.8%,,1600000US0636203,
Indian Wells city,"4,757","2,203","2,554",69.2,70.0,68.7,N/A,N/A,63,315,"4,402","3,707","3,385","2,915",53.7%,6.6%,,1600000US0636434,
Indio city,"89,137","43,517","45,620",37.2,35.9,38.4,N/A,N/A,"5,161","22,546","62,831","25,718","20,660","15,893",51.2%,25.3%,,1600000US0636448,
Indio Hills CDP,"1,048",559,489,36.5,37.1,35.9,N/A,N/A,55,252,740,265,193,118,46.7%,24.0%,,1600000US0636452,
Jurupa Valley city,"105,053","52,509","52,544",34.3,33.6,35.1,N/A,N/A,"6,632","27,322","72,802","24,907","18,439","12,374",50.0%,26.0%,,1600000US0637692,
Lake Elsinore city,"70,265","34,735","35,530",33.3,32.5,34.1,N/A,N/A,"4,922","20,011","47,141","14,155","10,126","6,548",50.6%,28.5%,,1600000US0639486,
Lakeland Village CDP,"12,364","6,290","6,074",35.4,35.0,35.8,N/A,N/A,840,"3,174","8,660","3,124","2,336","1,494",49.1%,25.7%,,1600000US0639598,
Lake Mathews CDP,"5,972","3,032","2,940",41.6,39.7,43.4,N/A,N/A,280,"1,275","4,472","2,001","1,549","1,109",49.2%,21.3%,,1600000US0639645,
Lake Riverside CDP,"1,375",706,669,44.6,43.2,45.4,N/A,N/A,69,299,"1,042",506,402,289,48.7%,21.7%,,1600000US0639715,
Lakeview CDP,"1,977",955,"1,022",32.7,31.8,34.1,N/A,N/A,104,510,"1,379",452,345,260,51.7%,25.8%,,1600000US0639836,
La Quinta city,"37,558","17,898","19,660",51.8,50.2,53.1,N/A,N/A,"1,441","6,378","29,982","17,260","14,311","11,336",52.3%,17.0%,,1600000US0640354,
March ARB CDP,809,448,361,61.5,60.4,65.3,N/A,N/A,36,95,706,502,433,353,44.6%,11.7%,,1600000US0645680,
Meadowbrook CDP,"3,142","1,631","1,511",37.3,38.6,36.6,N/A,N/A,185,720,"2,299",941,723,509,48.1%,22.9%,,1600000US0646520,
Mead Valley CDP,"19,819","10,169","9,650",31.2,30.8,31.7,N/A,N/A,"1,371","5,608","13,151","4,231","3,075","2,041",48.7%,28.3%,,1600000US0646646,
Mecca CDP,"8,219","4,247","3,972",26.6,26.2,27.3,N/A,N/A,621,"2,856","4,849","1,249",828,497,48.3%,34.7%,,1600000US0646660,
Menifee city,"102,527","49,612","52,915",39.6,37.9,41.4,N/A,N/A,"6,029","24,229","74,570","33,026","26,542","19,895",51.6%,23.6%,,1600000US0646842,
Mesa Verde CDP,766,378,388,39.6,40.3,37.5,N/A,N/A,42,180,541,234,176,126,50.7%,23.5%,,1600000US0647066,
Moreno Valley city,"208,634","102,051","106,583",32.0,30.7,33.4,N/A,N/A,"13,799","57,051","141,299","43,701","31,801","21,063",51.1%,27.3%,,1600000US0649270,
Mountain Center CDP,66,35,31,54.3,54.5,53.8,N/A,N/A,1,9,57,31,22,14,47.0%,13.6%,,1600000US0649544,
Murrieta city,"110,949","53,992","56,957",36.4,34.8,37.9,N/A,N/A,"6,109","28,584","77,275","28,457","21,370","15,286",51.3%,25.8%,,1600000US0650076,
Norco city,"26,316","15,066","11,250",40.9,39.4,44.0,N/A,N/A,"1,132","4,785","20,600","7,910","5,777","3,928",42.7%,18.2%,,1600000US0651560,
North Shore CDP,"3,585","1,819","1,766",28.4,27.3,29.6,N/A,N/A,226,"1,162","2,224",603,415,275,49.3%,32.4%,,1600000US0652302,
Nuevo CDP,"6,733","3,418","3,315",35.6,35.1,36.2,N/A,N/A,403,"1,742","4,650","1,714","1,257",854,49.2%,25.9%,,1600000US0652624,
Oasis CDP,"4,468","2,263","2,205",26.0,25.6,26.5,N/A,N/A,388,"1,647","2,542",613,425,253,49.4%,36.9%,,1600000US0653224,
Palm Desert city,"51,163","23,809","27,354",56.1,53.9,57.9,N/A,N/A,"1,733","7,023","42,864","26,310","22,810","18,804",53.5%,13.7%,,1600000US0655184,
Palm Springs city,"44,575","27,049","17,526",57.9,58.3,57.0,N/A,N/A,"1,008","4,334","39,418","25,045","20,239","15,213",39.3%,9.7%,,1600000US0655254,
Perris city,"78,700","38,968","39,732",29.5,28.5,30.5,N/A,N/A,"5,792","24,568","49,907","12,877","8,903","5,796",50.5%,31.2%,,1600000US0656700,
Rancho Mirage city,"16,999","8,577","8,422",66.2,65.7,66.6,N/A,N/A,254,"1,313","15,451","12,123","10,685","8,931",49.5%,7.7%,,1600000US0659500,
Ripley CDP,538,244,294,31.6,31.3,33.0,N/A,N/A,52,169,351,147,127,79,54.6%,31.4%,,1600000US0661012,
Riverside city,"314,998","154,703","160,295",33.3,32.2,34.5,N/A,N/A,"18,322","73,378","221,927","73,329","54,850","37,819",50.9%,23.3%,,1600000US0662000,
Romoland CDP,"2,005","1,028",977,33.7,32.7,34.5,N/A,N/A,123,538,"1,355",472,322,212,48.7%,26.8%,,1600000US0662756,
Sage CDP,"3,370","1,734","1,636",45.5,46.0,44.7,N/A,N/A,147,681,"2,573","1,288",987,690,48.5%,20.2%,,1600000US0664056,
San Jacinto city,"53,898","26,242","27,656",32.4,31.2,33.6,N/A,N/A,"3,688","15,898","35,435","11,910","8,990","6,311",51.3%,29.5%,,1600000US0667112,
Sky Valley CDP,"2,411","1,281","1,130",52.8,52.6,53.0,N/A,N/A,121,418,"1,935","1,123",926,712,46.9%,17.3%,,1600000US0672156,
Temecula city,"110,003","53,547","56,456",37.0,35.7,38.2,N/A,N/A,"6,002","28,554","76,686","27,687","20,243","13,757",51.3%,26.0%,,1600000US0678120,
Temescal Valley CDP,"26,232","12,757","13,475",39.7,38.8,40.4,N/A,N/A,"1,430","6,713","18,485","7,506","5,725","4,225",51.4%,25.6%,,1600000US0678138,
Thermal CDP,"2,676","1,393","1,283",29.6,28.6,30.9,N/A,N/A,210,871,"1,669",484,329,241,47.9%,32.5%,,1600000US0678456,
Thousand Palms CDP,"7,967","4,018","3,949",44.4,41.8,46.6,N/A,N/A,377,"1,649","6,023","3,080","2,527","1,929",49.6%,20.7%,,1600000US0678596,
Valle Vista CDP,"16,194","7,818","8,376",40.3,39.2,41.2,N/A,N/A,909,"3,814","11,830","5,403","4,292","3,109",51.7%,23.6%,,1600000US0681708,
Vista Santa Rosa CDP,"2,607","1,364","1,243",35.3,32.6,36.8,N/A,N/A,138,687,"1,789",669,499,333,47.7%,26.4%,,1600000US0683085,
Warm Springs CDP,"1,586",826,760,35.9,35.5,37.4,N/A,N/A,69,369,"1,140",429,328,227,47.9%,23.3%,,1600000US0683460,
Whitewater CDP,984,485,499,39.0,38.3,39.5,N/A,N/A,48,213,731,286,209,134,50.7%,21.6%,,1600000US0685208,
Wildomar city,"36,875","18,228","18,647",37.1,36.1,38.1,N/A,N/A,"2,071","8,915","26,361","10,129","7,541","5,209",50.6%,24.2%,,1600000US0685446,
Winchester CDP,"3,068","1,558","1,510",36.0,36.2,35.2,N/A,N/A,191,773,"2,176",855,621,435,49.2%,25.2%,,1600000US0685894,
Woodcrest CDP,"15,378","7,695","7,683",42.1,40.8,43.8,N/A,N/A,753,"3,360","11,426","5,175","3,885","2,754",50.0%,21.8%,,1600000US0686244,
Sacramento County,"1,585,055","774,787","810,268",36.9,35.7,38.2,N/A,N/A,"93,714","367,746","1,157,501","432,089","332,185","237,649",51.1%,23.2%,,0500000US06067,
Antelope CDP,"48,733","23,886","24,847",34.3,32.6,35.8,N/A,N/A,"3,238","13,222","33,307","11,078","7,856","5,112",51.0%,27.1%,,1600000US0602210,
Arden-Arcade CDP,"94,659","45,578","49,081",36.5,35.5,37.7,N/A,N/A,"6,493","21,788","70,030","27,234","21,615","15,994",51.9%,23.0%,,1600000US0602553,
Carmichael CDP,"79,793","38,026","41,767",41.6,39.5,44.0,N/A,N/A,"4,335","16,295","61,070","27,834","22,534","17,035",52.3%,20.4%,,1600000US0611390,
Citrus Heights city,"87,583","42,346","45,237",38.6,36.8,40.3,N/A,N/A,"4,966","18,086","66,692","27,148","21,406","15,823",51.7%,20.7%,,1600000US0613588,
Clay CDP,"1,252",626,626,46.4,45.3,47.9,N/A,N/A,52,245,965,473,353,267,50.0%,19.6%,,1600000US0613854,
Courtland CDP,326,168,158,39.5,40.6,37.2,N/A,N/A,15,84,237,91,81,59,48.5%,25.8%,,1600000US0616714,
Elk Grove city,"176,124","85,211","90,913",38.3,36.4,39.8,N/A,N/A,"9,569","44,730","123,645","46,633","34,715","24,385",51.6%,25.4%,,1600000US0622020,
Elverta CDP,"5,435","2,741","2,694",42.3,39.5,44.1,N/A,N/A,309,"1,148","4,095","1,938","1,489",985,49.6%,21.1%,,1600000US0622524,
Fair Oaks CDP,"32,514","15,699","16,815",47.6,45.6,49.5,N/A,N/A,"1,449","5,755","25,801","13,229","10,750","8,166",51.7%,17.7%,,1600000US0623294,
Florin CDP,"52,388","25,633","26,755",35.4,34.0,36.7,N/A,N/A,"3,271","13,488","36,748","13,918","10,753","7,601",51.1%,25.7%,,1600000US0624498,
Folsom city,"80,454","41,532","38,922",40.5,39.3,41.9,N/A,N/A,"3,719","17,857","59,793","22,113","16,356","11,603",48.4%,22.2%,,1600000US0624638,
Foothill Farms CDP,"35,834","17,424","18,410",33.9,32.9,34.8,N/A,N/A,"2,601","9,381","25,078","8,502","6,397","4,250",51.4%,26.2%,,1600000US0624722,
Franklin CDP,167,85,82,37.7,38.5,36.0,N/A,N/A,9,33,119,49,39,27,49.1%,19.8%,,1600000US0625506,
Freeport CDP,58,25,33,49.5,43.8,50.5,N/A,N/A,2,13,45,27,19,16,56.9%,22.4%,,1600000US0625590,
Fruitridge Pocket CDP,"6,102","3,076","3,026",32.9,32.0,33.9,N/A,N/A,453,"1,675","4,186","1,346",970,640,49.6%,27.5%,,1600000US0627130,
Galt city,"25,383","12,377","13,006",36.4,35.3,37.5,N/A,N/A,"1,512","6,569","17,731","6,697","5,016","3,541",51.2%,25.9%,,1600000US0628112,
Gold River CDP,"7,844","3,747","4,097",56.1,55.1,56.7,N/A,N/A,261,"1,177","6,498","4,027","3,382","2,611",52.2%,15.0%,,1600000US0630345,
Herald CDP,"1,160",591,569,45.7,45.8,45.6,N/A,N/A,48,238,858,390,259,182,49.1%,20.5%,,1600000US0633294,
Hood CDP,244,142,102,43.3,41.5,44.0,N/A,N/A,20,56,176,90,66,46,41.8%,23.0%,,1600000US0634484,
Isleton city,794,388,406,42.7,41.8,46.0,N/A,N/A,32,175,594,265,193,132,51.1%,22.0%,,1600000US0636882,
La Riviera CDP,"11,252","5,596","5,656",36.4,35.7,37.1,N/A,N/A,585,"2,133","8,735","3,115","2,437","1,795",50.3%,19.0%,,1600000US0640410,
Lemon Hill CDP,"14,496","7,096","7,400",31.2,31.3,31.2,N/A,N/A,"1,144","4,506","9,413","2,892","2,097","1,365",51.0%,31.1%,,1600000US0641142,
McClellan Park CDP,926,439,487,31.4,31.1,31.6,N/A,N/A,88,304,590,161,111,64,52.6%,32.8%,,1600000US0644760,
Mather CDP,"4,698","2,311","2,387",36.0,35.3,36.5,N/A,N/A,282,"1,255","3,243",999,697,459,50.8%,26.7%,,1600000US0646226,
North Highlands CDP,"49,327","24,131","25,196",33.6,32.7,34.4,N/A,N/A,"3,697","13,277","34,123","11,878","8,981","6,157",51.1%,26.9%,,1600000US0651924,
Orangevale CDP,"35,569","17,460","18,109",42.5,40.9,44.3,N/A,N/A,"1,770","7,309","27,117","12,349","9,676","6,979",50.9%,20.5%,,1600000US0654092,
Parkway CDP,"15,962","7,887","8,075",32.1,31.1,33.2,N/A,N/A,"1,157","4,487","10,762","3,430","2,570","1,735",50.6%,28.1%,,1600000US0655800,
Rancho Cordova city,"79,332","38,845","40,487",35.5,34.6,36.6,N/A,N/A,"5,445","19,716","56,930","19,558","14,777","10,215",51.0%,24.9%,,1600000US0659444,
Rancho Murieta CDP,"5,903","2,835","3,068",54.5,53.8,55.2,N/A,N/A,173,"1,056","4,677","2,913","2,422","1,952",52.0%,17.9%,,1600000US0659506,
Rio Linda CDP,"15,944","8,037","7,907",37.1,35.7,38.4,N/A,N/A,"1,020","3,956","11,375","4,597","3,348","2,306",49.6%,24.8%,,1600000US0660942,
Rosemont CDP,"23,510","11,470","12,040",35.9,34.4,37.8,N/A,N/A,"1,379","5,166","17,484","6,420","4,916","3,591",51.2%,22.0%,,1600000US0662910,
Sacramento city,"524,943","255,987","268,956",35.4,34.5,36.3,N/A,N/A,"30,870","116,841","387,493","131,356","101,227","72,384",51.2%,22.3%,,1600000US0664000,
Vineyard CDP,"43,935","21,486","22,449",36.6,35.1,37.9,N/A,N/A,"2,792","11,400","30,577","11,195","8,302","5,638",51.1%,25.9%,,1600000US0682852,
Walnut Grove CDP,"1,452",713,739,43.9,40.9,45.4,N/A,N/A,70,310,"1,092",536,434,321,50.9%,21.3%,,1600000US0683374,
Wilton CDP,"5,958","2,991","2,967",46.7,46.3,47.3,N/A,N/A,254,"1,265","4,462","2,331","1,833","1,333",49.8%,21.2%,,1600000US0685880,
San Benito County,"64,209","31,941","32,268",36.6,35.9,37.3,N/A,N/A,"4,088","16,294","45,182","16,768","12,602","8,764",50.3%,25.4%,,0500000US06069,
Aromas CDP (part),"1,343",669,674,44.0,41.6,46.2,N/A,N/A,41,239,"1,052",505,398,277,50.2%,17.8%,,1550000US0602812069,
Hollister city,"41,678","20,596","21,082",34.0,33.0,34.9,N/A,N/A,"2,900","11,555","28,177","9,019","6,525","4,388",50.6%,27.7%,,1600000US0634120,
Ridgemark CDP,"3,212","1,559","1,653",49.9,49.2,50.4,N/A,N/A,145,586,"2,532","1,332","1,083",865,51.5%,18.2%,,1600000US0660706,
San Juan Bautista city,"2,089","1,054","1,035",40.2,39.9,40.9,N/A,N/A,109,410,"1,619",625,515,376,49.5%,19.6%,,1600000US0668014,
Tres Pinos CDP,443,220,223,46.7,43.7,48.5,N/A,N/A,32,91,327,179,131,92,50.3%,20.5%,,1600000US0680364,
San Bernardino County,"2,181,654","1,078,849","1,102,805",34.9,33.7,36.0,N/A,N/A,"135,299","552,612","1,532,953","538,762","403,345","277,924",50.5%,25.3%,,0500000US06071,
Adelanto city,"38,046","19,891","18,155",29.2,28.9,29.6,N/A,N/A,"2,934","12,267","23,938","6,004","4,107","2,705",47.7%,32.2%,,1600000US0600296,
Apple Valley town,"75,791","36,756","39,035",38.0,36.3,39.6,N/A,N/A,"4,595","19,157","53,785","24,026","19,158","14,267",51.5%,25.3%,,1600000US0602364,
Baker CDP,442,223,219,28.6,31.1,27.3,N/A,N/A,35,149,274,81,55,27,49.5%,33.7%,,1600000US0603512,
Barstow city,"25,415","12,335","13,080",30.9,29.4,32.2,N/A,N/A,"2,200","7,891","16,423","5,900","4,462","3,051",51.5%,31.0%,,1600000US0604030,
Big Bear City CDP,"12,738","6,428","6,310",47.1,45.4,48.5,N/A,N/A,618,"2,394","9,960","5,131","4,154","2,890",49.5%,18.8%,,1600000US0606406,
Big Bear Lake city,"5,046","2,595","2,451",51.5,51.2,51.9,N/A,N/A,232,831,"4,093","2,304","1,874","1,360",48.6%,16.5%,,1600000US0606434,
Big River CDP,"1,084",546,538,59.8,59.3,60.1,N/A,N/A,31,125,933,643,537,417,49.6%,11.5%,,1600000US0606635,
Bloomington CDP,"24,339","12,286","12,053",31.3,30.7,32.1,N/A,N/A,"1,552","6,721","16,353","4,887","3,434","2,239",49.5%,27.6%,,1600000US0607064,
Bluewater CDP,116,49,67,62.3,60.8,65.5,N/A,N/A,1,8,108,84,72,54,57.8%,6.9%,,1600000US0607172,
Chino city,"91,403","45,672","45,731",37.2,36.6,37.8,N/A,N/A,"5,223","20,456","67,401","23,203","17,090","11,710",50.0%,22.4%,,1600000US0613210,
