Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Gridley city,"7,421","3,638","3,783",36.1,34.2,37.4,N/A,N/A,495,"1,980","5,175","2,009","1,590","1,169",51.0%,26.7%,,1600000US0631260,
Honcut CDP,306,168,138,45.3,43.7,47.0,N/A,N/A,16,65,224,115,85,63,45.1%,21.2%,,1600000US0634428,
Kelly Ridge CDP,"3,006","1,485","1,521",55.3,54.4,56.9,N/A,N/A,115,457,"2,470","1,514","1,326","1,024",50.6%,15.2%,,1600000US0638024,
Magalia CDP,"7,795","3,971","3,824",49.6,48.4,50.8,N/A,N/A,326,"1,407","6,168","3,374","2,741","2,001",49.1%,18.1%,,1600000US0645120,
Nord CDP,286,156,130,47.2,51.4,41.6,N/A,N/A,15,57,218,110,84,61,45.5%,19.9%,,1600000US0651574,
Oroville city,"20,042","9,940","10,102",34.7,33.8,35.9,N/A,N/A,"1,381","5,151","14,158","5,474","4,270","3,089",50.4%,25.7%,,1600000US0654386,
Oroville East CDP,"8,038","3,962","4,076",48.6,47.0,50.0,N/A,N/A,414,"1,590","6,246","3,475","2,863","2,191",50.7%,19.8%,,1600000US0654388,
Palermo CDP,"5,555","2,820","2,735",42.8,42.7,43.0,N/A,N/A,275,"1,222","4,105","1,963","1,548","1,148",49.2%,22.0%,,1600000US0655086,
Paradise town,"4,764","2,395","2,369",55.6,54.4,56.3,N/A,N/A,167,687,"3,968","2,432","2,029","1,497",49.7%,14.4%,,1600000US0655520,
Rackerby CDP,210,127,83,52.5,51.3,58.8,N/A,N/A,8,44,165,104,94,69,39.5%,21.0%,,1600000US0659115,
Richvale CDP,234,130,104,39.0,33.7,48.0,N/A,N/A,17,58,171,84,71,58,44.4%,24.8%,,1600000US0660662,
Robinson Mill CDP,89,44,45,52.5,44.6,57.8,N/A,N/A,1,5,81,42,37,29,50.6%,5.6%,,1600000US0662200,
South Oroville CDP,"3,235","1,652","1,583",33.8,33.0,35.5,N/A,N/A,204,896,"2,220",844,654,413,48.9%,27.7%,,1600000US0673178,
Stirling City CDP,284,156,128,46.0,49.0,43.0,N/A,N/A,13,67,212,126,95,69,45.1%,23.6%,,1600000US0674186,
Thermalito CDP,"7,198","3,625","3,573",38.5,37.4,39.2,N/A,N/A,447,"1,661","5,284","2,287","1,761","1,256",49.6%,23.1%,,1600000US0678470,
Yankee Hill CDP,260,124,136,47.5,46.0,51.0,N/A,N/A,8,39,209,104,88,63,52.3%,15.0%,,1600000US0686678,
Calaveras County,"45,292","22,754","22,538",51.6,50.2,52.9,N/A,N/A,"1,962","7,955","36,068","20,737","17,125","12,762",49.8%,17.6%,,0500000US06009,
Angels city,"3,667","1,732","1,935",51.6,49.2,54.2,N/A,N/A,171,669,"2,903","1,694","1,447","1,122",52.8%,18.2%,,1600000US0602112,
Arnold CDP,"3,288","1,668","1,620",57.3,57.4,57.2,N/A,N/A,128,509,"2,706","1,760","1,507","1,162",49.3%,15.5%,,1600000US0602770,
Avery CDP,636,297,339,56.0,55.5,56.1,N/A,N/A,39,99,518,323,258,170,53.3%,15.6%,,1600000US0603316,
Copperopolis CDP,"3,400","1,687","1,713",51.1,51.1,51.0,N/A,N/A,152,620,"2,689","1,483","1,244",882,50.4%,18.2%,,1600000US0616210,
Dorrington CDP,519,306,213,61.0,61.2,60.9,N/A,N/A,15,43,462,328,269,215,41.0%,8.3%,,1600000US0619570,
Forest Meadows CDP,"1,276",642,634,58.6,57.3,59.2,N/A,N/A,46,190,"1,053",683,603,491,49.7%,14.9%,,1600000US0624897,
Mokelumne Hill CDP,691,367,324,53.3,48.6,58.7,N/A,N/A,45,122,555,330,286,226,46.9%,17.7%,,1600000US0648480,
Mountain Ranch CDP,223,102,121,59.9,51.3,65.5,N/A,N/A,10,27,194,127,111,96,54.3%,12.1%,,1600000US0649628,
Murphys CDP,"1,995",904,"1,091",60.9,57.5,62.6,N/A,N/A,45,269,"1,689","1,155","1,036",837,54.7%,13.5%,,1600000US0650034,
Rail Road Flat CDP,316,145,171,58.3,61.6,56.6,N/A,N/A,11,41,263,183,143,108,54.1%,13.0%,,1600000US0659220,
Rancho Calaveras CDP,"5,590","2,866","2,724",45.6,43.7,47.8,N/A,N/A,259,"1,133","4,269","2,094","1,650","1,170",48.7%,20.3%,,1600000US0659426,
San Andreas CDP,"2,994","1,478","1,516",46.2,42.5,49.7,N/A,N/A,156,605,"2,296","1,195","1,020",770,50.6%,20.2%,,1600000US0664420,
Vallecito CDP,442,238,204,44.6,46.0,43.0,N/A,N/A,25,100,327,183,156,112,46.2%,22.6%,,1600000US0681652,
Valley Springs CDP,"3,779","1,871","1,908",44.5,42.8,46.4,N/A,N/A,183,812,"2,836","1,423","1,125",831,50.5%,21.5%,,1600000US0681890,
Wallace CDP,479,249,230,46.3,49.3,41.8,N/A,N/A,36,98,371,186,160,109,48.0%,20.5%,,1600000US0683304,
West Point CDP,688,335,353,54.0,56.3,50.3,N/A,N/A,38,125,549,337,283,197,51.3%,18.2%,,1600000US0684732,
Colusa County,"21,839","10,996","10,843",35.5,34.3,36.4,N/A,N/A,"1,407","6,106","14,851","5,924","4,596","3,251",49.6%,28.0%,,0500000US06011,
Arbuckle CDP,"3,484","1,775","1,709",32.8,31.2,34.0,N/A,N/A,234,"1,085","2,255",746,538,349,49.1%,31.1%,,1600000US0602420,
College City CDP,292,132,160,39.6,39.6,38.5,N/A,N/A,13,72,202,87,77,62,54.8%,24.7%,,1600000US0614554,
Colusa city,"6,411","3,189","3,222",36.3,34.5,37.3,N/A,N/A,419,"1,780","4,390","1,799","1,394",992,50.3%,27.8%,,1600000US0614946,
Grimes CDP,296,144,152,35.7,33.8,39.0,N/A,N/A,25,71,211,97,78,59,51.4%,24.0%,,1600000US0631288,
Lodoga CDP,184,88,96,58.3,59.0,57.0,N/A,N/A,3,28,155,108,84,67,52.2%,15.2%,,1600000US0642230,
Maxwell CDP,"1,067",573,494,34.5,33.9,35.1,N/A,N/A,57,295,731,282,215,156,46.3%,27.6%,,1600000US0646338,
Princeton CDP,309,166,143,45.5,42.4,49.3,N/A,N/A,11,58,236,123,100,58,46.3%,18.8%,,1600000US0658758,
Stonyford CDP,133,63,70,58.1,54.8,58.6,N/A,N/A,8,26,105,74,57,36,52.6%,19.5%,,1600000US0675154,
Williams city,"5,538","2,728","2,810",30.6,29.9,31.2,N/A,N/A,436,"1,757","3,517","1,121",846,607,50.7%,31.7%,,1600000US0685586,
Contra Costa County,"1,165,927","568,066","597,861",40.1,38.8,41.2,N/A,N/A,"62,032","263,255","859,415","346,492","266,139","192,799",51.3%,22.6%,,0500000US06013,
Acalanes Ridge CDP,"1,285",641,644,47.6,47.4,47.9,N/A,N/A,59,268,978,483,404,305,50.1%,20.9%,,1600000US0600135,
Alamo CDP,"15,314","7,553","7,761",49.6,49.3,49.9,N/A,N/A,552,"3,407","11,315","6,367","4,995","3,720",50.7%,22.2%,,1600000US0600618,
Alhambra Valley CDP,805,393,412,53.1,51.5,54.3,N/A,N/A,24,142,644,383,299,223,51.2%,17.6%,,1600000US0600898,
Antioch city,"115,291","56,110","59,181",36.2,35.0,37.5,N/A,N/A,"6,745","28,059","82,254","30,180","22,123","14,998",51.3%,24.3%,,1600000US0602252,
Bay Point CDP,"23,896","11,862","12,034",33.2,32.5,33.9,N/A,N/A,"1,498","6,467","16,260","4,787","3,463","2,209",50.4%,27.1%,,1600000US0604415,
Bayview CDP,"1,782",880,902,45.3,40.4,48.3,N/A,N/A,71,310,"1,390",667,543,401,50.6%,17.4%,,1600000US0604470,
Bethel Island CDP,"2,131","1,099","1,032",54.6,55.2,53.6,N/A,N/A,70,288,"1,803","1,048",808,559,48.4%,13.5%,,1600000US0606210,
Blackhawk CDP,"9,637","4,662","4,975",50.3,50.0,50.6,N/A,N/A,326,"1,960","7,316","4,069","3,185","2,397",51.6%,20.3%,,1600000US0606928,
Brentwood city,"64,292","31,064","33,228",39.3,38.2,40.3,N/A,N/A,"3,539","16,822","44,650","17,932","13,908","10,426",51.7%,26.2%,,1600000US0608142,
Byron CDP,"1,140",599,541,39.4,42.1,37.5,N/A,N/A,56,261,828,335,255,167,47.5%,22.9%,,1600000US0609346,
Camino Tassajara CDP,"4,951","2,397","2,554",40.8,40.3,41.2,N/A,N/A,219,"1,614","3,160","1,023",691,499,51.6%,32.6%,,1600000US0610301,
Castle Hill CDP,"1,271",614,657,49.7,49.5,49.9,N/A,N/A,52,276,962,521,448,348,51.7%,21.7%,,1600000US0611915,
