County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Kings,152486,82573,69913,32.9,33.2,32.5,10409,40551,105533,32049,23620,16146,45.8,26.6,27,1384,9500,86302,5776,3504,314,45560,24295,57500,4400,60810,187,4715,0.4153846153846154,0.7012184725155096,Worse,61,0.40003672468292173,0.07652173913043478,0.1593261020683866,0.2101766719567698,1247,6,8.177799929173826
Los Angeles,10014009,4906513,5107496,37.5,36.4,38.7,501341,2054218,7551543,2680864,2038645,1453950,NA,20.5,692,18288,774678,4764535,1466206,221454,21481,2483423,1365808,5004300,292000,77356,7929,321321,0.49855907780979825,0.7520051160329494,As Expected,6279,0.6270216054329489,0.05834981915552625,0.1363897316249666,0.26771136315136124,240728,7949,24.0391235917603
Los Angeles,10014009,4906513,5107496,37.5,36.4,38.7,501341,2054218,7551543,2680864,2038645,1453950,NA,20.5,692,18288,774678,4764535,1466206,221454,21481,2483423,1365808,5004300,292000,77356,7929,321321,0.49855907780979825,0.7520051160329494,Better,870,0.08687829220045638,0.05834981915552625,0.1363897316249666,0.26771136315136124,64637,517,6.454657670069999
Los Angeles,10014009,4906513,5107496,37.5,36.4,38.7,501341,2054218,7551543,2680864,2038645,1453950,NA,20.5,692,18288,774678,4764535,1466206,221454,21481,2483423,1365808,5004300,292000,77356,7929,321321,0.49855907780979825,0.7520051160329494,Worse,780,0.07789088266247814,0.05834981915552625,0.1363897316249666,0.26771136315136124,15956,308,1.5933678509775655
Marin,262321,128593,133728,46.5,45.1,47.8,11547,52870,201202,97331,77677,59247,NA,20.2,0,484,5983,42278,16825,8818,433,176987,19734,132300,4900,118472,180,5405,0,0.32530373092508796,As Expected,180,0.6861821966216962,0.037037037037037035,0.0752284414896253,0.371037774329924,5405,312,20.604526515223714
Marin,262321,128593,133728,46.5,45.1,47.8,11547,52870,201202,97331,77677,59247,NA,20.2,0,484,5983,42278,16825,8818,433,176987,19734,132300,4900,118472,180,5405,0,0.32530373092508796,Better,0,0,0.037037037037037035,0.0752284414896253,0.371037774329924,0,6,0
Marin,262321,128593,133728,46.5,45.1,47.8,11547,52870,201202,97331,77677,59247,NA,20.2,0,484,5983,42278,16825,8818,433,176987,19734,132300,4900,118472,180,5405,0,0.32530373092508796,Worse,0,0,0.037037037037037035,0.0752284414896253,0.371037774329924,0,2,0
Monterey,439035,221123,217912,35,34,36,26907,111258,307491,111166,86741,62416,49.6,25.3,44,1243,10007,261103,24738,10222,1866,123960,50725,237300,11700,81404,390,11072,0.5789473684210527,0.7176534900406574,As Expected,334,0.7607593927591194,0.0493046776232617,0.11553748562187525,0.2532053253157493,9968,361,22.70434020066737
Monterey,439035,221123,217912,35,34,36,26907,111258,307491,111166,86741,62416,49.6,25.3,44,1243,10007,261103,24738,10222,1866,123960,50725,237300,11700,81404,390,11072,0.5789473684210527,0.7176534900406574,Better,0,0,0.0493046776232617,0.11553748562187525,0.2532053253157493,0,2,0
Monterey,439035,221123,217912,35,34,36,26907,111258,307491,111166,86741,62416,49.6,25.3,44,1243,10007,261103,24738,10222,1866,123960,50725,237300,11700,81404,390,11072,0.5789473684210527,0.7176534900406574,Worse,56,0.12755247303745715,0.0493046776232617,0.11553748562187525,0.2532053253157493,1104,33,2.514605897024155
Napa,138019,67777,70242,42.9,41.3,44.4,6139,27546,105537,47661,38053,28688,50.9,NA,0,487,2549,47783,11732,3431,373,68225,11814,72000,2600,94127,180,4218,0,0.5056840000289815,As Expected,180,1.30416826668792,0.03611111111111111,0.0855969105702838,0.345322020881183,4218,216,30.561009716053587
Napa,138019,67777,70242,42.9,41.3,44.4,6139,27546,105537,47661,38053,28688,50.9,NA,0,487,2549,47783,11732,3431,373,68225,11814,72000,2600,94127,180,4218,0,0.5056840000289815,Better,0,0,0.03611111111111111,0.0855969105702838,0.345322020881183,0,4,0
