Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
Moorpark city,36284,17789,18495,39.3,38.6,40,2012,8509,26360,10632,7874,5180,51,23.5
Oak Park CDP,13898,6681,7217,43.7,43.2,44.1,602,3215,10198,4515,3301,2126,51.9,23.1
Oak View CDP,6215,3025,3190,43.3,42.3,44,302,1278,4744,2195,1791,1273,51.3,20.6
Ojai city,7637,3508,4129,49.7,47,51.5,327,1342,6077,3274,2745,2074,54.1,17.6
Oxnard city,202063,100815,101248,33.7,32.8,34.6,12546,52660,140336,46467,34898,24297,50.1,26.1
Piru CDP,2587,1337,1250,32.5,32.2,32.7,167,741,1702,566,411,284,48.3,28.6
Port Hueneme city,21954,10872,11082,34.9,33.1,36.6,1362,5035,15923,5835,4569,3259,50.5,22.9
San Buenaventura (Ventura) city,110763,53791,56972,41.4,40,42.8,5278,22217,84904,36604,28580,20745,51.4,20.1
Santa Paula city,30657,15286,15371,35,33.9,36,1900,8104,21197,7636,5902,4270,50.1,26.4
Santa Rosa Valley CDP,3312,1648,1664,52.1,51.7,52.5,108,613,2596,1536,1208,835,50.2,18.5
Santa Susana CDP,1160,581,579,49.1,47.3,50.4,48,213,932,464,343,246,49.9,18.4
Saticoy CDP,1133,594,539,32.3,30.8,33.4,83,339,743,216,150,105,47.6,29.9
Simi Valley city,126356,61947,64409,41.5,40,43.1,6092,26130,95396,39635,29990,21072,51,20.7
Somis CDP,1429,722,707,42.5,41.1,44.6,72,297,1073,534,430,301,49.5,20.8
Thousand Oaks city,126966,61693,65273,45,43.2,46.4,5214,25289,95957,45436,35459,26294,51.4,19.9
Yolo County,216403,104292,112111,33.3,32.5,34.1,11307,45147,153635,53788,41684,30209,51.8,20.9
Brooks CDP,31,21,10,40.9,40.6,46.5,0,6,24,8,7,5,32.3,19.4
Clarksburg CDP,402,206,196,44.7,43.7,45,19,82,302,147,121,84,48.8,20.4
Davis city,66850,31480,35370,28.1,28,28.2,2597,10709,49115,15301,12245,9272,52.9,16
Dunnigan CDP,1382,694,688,41.8,41.6,42,54,311,1009,501,396,288,49.8,22.5
El Macero CDP,1074,527,547,58,56.1,59.5,31,174,873,586,506,420,50.9,16.2
Esparto CDP,3572,1742,1830,34.6,34.8,34.4,257,989,2420,913,684,499,51.2,27.7
Guinda CDP,245,119,126,54.8,52.6,56.3,18,46,193,121,100,69,51.4,18.8
Knights Landing CDP,1117,550,567,37.7,36.2,39.1,74,282,781,315,216,161,50.8,25.2
Madison CDP,581,309,272,31.8,32.2,31.6,34,173,379,143,118,75,46.8,29.8
Monument Hills CDP,1702,839,863,46.4,47.6,44.8,76,383,1266,632,492,330,50.7,22.5
Rumsey CDP,91,33,58,55.1,39.8,55.3,4,13,77,46,35,31,63.7,14.3
Tancred CDP,89,63,26,36.5,38.5,34.5,5,28,59,32,25,22,29.2,31.5
University of California-Davis CDP,8525,3697,4828,19.7,20.1,19.5,174,341,2853,104,81,53,56.6,4
West Sacramento city,53915,26352,27563,36.6,35.8,37.4,3413,13287,38858,13125,9892,6850,51.1,24.6
Winters city,7115,3527,3588,37.7,36.2,39.3,454,1765,5102,1999,1486,1037,50.4,24.8
Woodland city,61032,29721,31311,37,35.4,38.5,3694,14759,43836,16619,12760,9154,51.3,24.2
Yolo CDP,425,212,213,42.6,40.5,47.2,25,101,312,138,111,79,50.1,23.8
Yuba County,81575,41063,40512,34.3,33.3,35.3,5905,22030,56221,20543,15664,10915,49.7,27
Beale AFB CDP,1303,615,688,22.3,23.3,21.3,218,563,669,32,28,13,52.8,43.2
Camptonville CDP,158,78,80,47.3,45.5,47.8,7,34,121,62,40,24,50.6,21.5
Challenge-Brownsville CDP,1161,584,577,53.3,53,53.9,59,240,900,530,436,313,49.7,20.7
Dobbins CDP,551,299,252,55.9,58.5,53,26,92,449,284,236,176,45.7,16.7
Linda CDP,21654,10885,10769,31.5,30.4,32.6,1788,6451,14370,4433,3276,2243,49.7,29.8
Loma Rica CDP,2409,1203,1206,48.9,47.1,50.8,110,458,1872,1031,818,600,50.1,19
Marysville city,12844,6411,6433,33.8,32.5,35.2,892,3102,9294,3336,2579,1815,50.1,24.2
Olivehurst CDP,16595,8271,8324,32.3,31.5,33.2,1293,4991,10887,3623,2699,1778,50.2,30.1
Plumas Lake CDP,8126,4095,4031,32.8,32.1,33.4,663,2686,5157,1349,951,626,49.6,33.1
Smartsville CDP,185,93,92,44.8,42.8,46.3,11,38,142,53,40,29,49.7,20.5
Wheatland city,3712,1808,1904,35.1,33.6,36.4,244,1010,2556,941,694,484,51.3,27.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
* Average household size and other data describing complex relationships between households and the people living in them will be released with the Supplemental Demographic and Housing Characteristics File (S-DHC). The U.S. Census Bureau has not determined the release date for S-DHC yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
